EDwsd302:1	S1:	 er i'm studying english and spanish and my keywords are literature as well foreign students and amsterdam
EDwsd302:1607	SX-13:	 x xx 
EDwsd302:1608	S19:	 something we can a- a- achieve like 
EDwsd302:1609	SX-6:	 yes but 
EDwsd302:1610	SX-6:	 it's a lot of er 
EDwsd302:1611	S19:	 fully but 
EDwsd302:1612	SX-6:	 a lot of organization who help xx people all over world because some people don't have choice no and they didn't guilt that they have aids or something they just 
EDwsd302:1613	S5:	 could we
EDwsd302:1614	SX-6:	 they have it so 
EDwsd302:1615	S5:	 could we integrate health into humanity
EDwsd302:1616	SX-6:	 no for me no
EDwsd302:1617	SX-f:	 hm
EDwsd302:1618	SX-f:	 hm 
EDwsd302:1619	SX-6:	 for me no 
EDwsd302:1620	S19:	 and then there is something which er you don't have this sustainable development 
EDwsd302:1621	S17:	 i thi- 
EDwsd302:1622	S19:	 so what do you think of that 
EDwsd302:1623	SX-6:	 okay then we can we can choose xxxx no
EDwsd302:1624	S13:	 what do you mean by that 
EDwsd302:1625	S19:	 we mean like er we like w- rent from the ecology but then it's only it's broader because it's 
EDwsd302:1626	S17:	 ecology -gy economy
EDwsd302:1627	S19:	 like not using all the resources here er the planet has like right now 
EDwsd302:1628	S13:	 i see
EDwsd302:1629	S17:	 to leave something for the next generations 
EDwsd302:1630	S19:	 and 
EDwsd302:1631	S19:	 yeah 
EDwsd302:1632	S13:	 i see i like that
EDwsd302:1633	SX:	 @
EDwsd302:1634	S7:	 but that is solidarity
EDwsd302:1635	SX-f:	 erm
EDwsd302:1636	S17:	 but solidarity is here and now 
EDwsd302:1637	SX-13:	 solidarity
EDwsd302:1638	S17:	 it's not for the future
EDwsd302:1639	S13:	 yeah i think there needs to be something to save the planet
EDwsd302:1640	SX-f:	 what is 
EDwsd302:1641	SX-f:	 @@
EDwsd302:1642	S17:	 thoughtfulness about the future 
EDwsd302:1643	S7:	 awareness i don't know that goes for knowledge as well i mean it's kind of the the border to each other xx but i er okay hm 
EDwsd302:1644	S17:	 so so now we have to choose between humanity sustainable development cooperation and healthness and other 
EDwsd302:1645	SS:	 love 
EDwsd302:1646	S17:	 love 
EDwsd302:1647	S7:	 all you need is love 
EDwsd302:1648	S17:	 love will be a problem @@@
EDwsd302:1649	S5:	 exactly and this is what it reminds me of and this is why i'm
EDwsd302:1650	S7:	 ˈdədɜːdərədə all you need is love ˈdədɜːdərədə all you need is love love 
EDwsd302:1651	SS:	 @@@@@@
EDwsd302:1652	S19:	 yeah i think also it's too vague you don't even know what love is 
EDwsd302:1653	SX-f:	 yeah exactly 
EDwsd302:1654	SX-f:	 it's just a xx 
EDwsd302:1655	S7:	 love is 
EDwsd302:1656	SX-f:	 love is somewhere xxx 
EDwsd302:1657	S5:	 yah exactly e- especially love is so is so 
EDwsd302:1658	S13:	 xxxxxxx 
EDwsd302:1659	S7:	 whoohoo 
EDwsd302:1660	SX-f:	
EDwsd302:1661	S5:	 used for so many things and it's er it's got a strange touch for me 
EDwsd302:1662	S7:	 what is w- no but it's wonderful love is wonderful 
EDwsd302:1663	S19:	 no but i yeah i everybody agrees that i mean everybody agrees xx but you don't know what you mean actually
EDwsd302:1664	SS:	 @@@@@
EDwsd302:1665	S17:	 xx @@
EDwsd302:1666	SX-f:	 but it's not a value i'm afraid 
EDwsd302:1667	S5:	 i mean in a
EDwsd302:1668	S17:	 it's too abstract
EDwsd302:1669	S19:	 yeah 
EDwsd302:1670	S17:	 love
EDwsd302:1671	SX-m:	 it's like sex 
EDwsd302:1672	S7:	 love is a value love is what is 
EDwsd302:1673	SX-5:	 xx it's like 
EDwsd302:1674	SX-m:	 @@@
EDwsd302:1675	S13:	 but could love encompass respect like we've got x in the
EDwsd302:1676	S17:	 yeah i think that it's more important to respect the other person you don't need to love him 
EDwsd302:1677	SX-19:	 yah we in 
EDwsd302:1678	S13:	 to love them yeah love is a choice you can choose to love someone but you should really respect everyone as equals 
EDwsd302:1679	S17:	 it's it's 
EDwsd302:1680	S7:	 why people don't love each other 
EDwsd302:1681	S17:	 and 
EDwsd302:1682	SX-f:	 but 
EDwsd302:1683	S17:	 they just confuse other feelings 
EDwsd302:1684	SX-f:	 er there are 
EDwsd302:1685	SX-f:	 it's like respect 
EDwsd302:1686	S13:	 there's a lot more hatred than love 
EDwsd302:1687	S17:	 it's respect and er er 
EDwsd302:1688	SX-f:	
EDwsd302:1689	SX-f:	 attraction and 
EDwsd302:1690	S17:	 are all @@@
EDwsd302:1691	S7:	 you say xxx but how about solidarity can we can we just can we agree on solidarity that there should be 
EDwsd302:1692	SX-6:	 xxx 
EDwsd302:1693	S13:	 what do you mean by solidarity who mean what does anyone mean by solidarity
EDwsd302:1694	S17:	 helpfulness to help the other
EDwsd302:1695	S19:	 yeah i think it's it it it's true that it's true that it could be xx if we combine that and this xx xx 
EDwsd302:1696	SX-7:	 yeah to aid to help to 
EDwsd302:1697	SX-f:	 xx solidarity 
EDwsd302:1698	S17:	 yeah i think that er 
EDwsd302:1699	SX-f:	 solidarity alike 
EDwsd302:1700	S17:	 so i think that this 
EDwsd302:1701	SX-7:	 x 
EDwsd302:1702	S17:	 solidarity really goes with humanity
EDwsd302:1703	S19:	 so 
EDwsd302:1704	S13:	 solidarity and save the planet i like @
EDwsd302:1705	SX-f:	 yes 
EDwsd302:1706	S17:	 @@@@@ solidarity is more like save the people
EDwsd302:1707	SX-f:	 @@@
EDwsd302:1708	S13:	 yeah what was the other one you had 
EDwsd302:1709	S17:	 don't save the planet 
EDwsd302:1710	S5:	 xx bigger it's also i mean it's 
EDwsd302:1711	S17:	 @
EDwsd302:1712	S13:	 what's the other one you had 
EDwsd302:1713	S7:	 no but you can't save the the planet you have no y- y- you can't save the people so xxx 
EDwsd302:1714	S13:	 ecological awareness xxx xx 
EDwsd302:1715	S7:	 yah 
EDwsd302:1716	S17:	 [S19] [S19] do y- do you think that we can incorporate solidarity in humanity
EDwsd302:1717	S7:	 yes
EDwsd302:1718	S19:	 yes we can
EDwsd302:1719	S17:	 we can okay so do we agree upon humanity 
EDwsd302:1720	S19:	 er 
EDwsd302:1721	S13:	 human solidarity 
EDwsd302:1722	S7:	 or solidarity
EDwsd302:1723	S17:	 @@@ hh @@ hh @@
EDwsd302:1724	S19:	 human and er 
EDwsd302:1725	S19:	 something else i mean xxxx 
EDwsd302:1726	S17:	 let's not make up new words 
EDwsd302:1727	S7:	 well you know if we're talking about terms being too broad i don't know humanity is is pretty er wide as well 
EDwsd302:1728	S19:	 yah 
EDwsd302:1729	S7:	 so i don't know 
EDwsd302:1730	S19:	 yeah for me i like solidarity 
EDwsd302:1731	S7:	 solidarity is more it is it's er aiding people when 
EDwsd302:1732	S19:	 except yeah 
EDwsd302:1733	S7:	 when they need to or in just to 
EDwsd302:1734	S5:	 but i don't wanna be solidarity we- so- it's er er solidarisch with with everybody
EDwsd302:1735	SX-f:	 @
EDwsd302:1736	S17:	 @@
EDwsd302:1737	S7:	 no maybe you should i don't know
EDwsd302:1738	S13:	 yeah 
EDwsd302:1739	SX-f:	 erm 
EDwsd302:1740	S19:	 well because i i think if you have if we have like freedom
EDwsd302:1741	S5:	 hm 
EDwsd302:1742	S19:	 you could also
EDwsd302:1743	SX-f:	 xxx is too much 
EDwsd302:1744	S19:	 i mean solidarity is important in in the society if you
EDwsd302:1745	S5:	 no is is begin- i mean just thinking of murder 
EDwsd302:1746	S13:	 i like solidarity yah 
EDwsd302:1747	S19:	 like share also the resources in a way and not it's not like society of the rich and the 
EDwsd302:1748	S5:	 i mean all these kind of people and of really like like you know emphasize xxx no i'm not 
EDwsd302:1749	S19:	 poor is almost like 
EDwsd302:1750	S17:	 i- i think that this this is not very productive d- do you want us to switch to cooperation and then get back to this humanity and solidarity because er by cooperation we mean that it's very important that people not only respect each other but work together to do something that there is dialogue and then now to do something together
EDwsd302:1751	S13:	 but 
EDwsd302:1752	SX-f:	 yeah 
EDwsd302:1753	S13:	 cooperation for me gives connotations of someone in a higher position telling us what to do we cooperate to what someone says that's what i feel like when i hear that word
EDwsd302:1754	SX-f:	 and conflict xx 
EDwsd302:1755	S5:	 and communication 
EDwsd302:1756	SX-f:	 hm 
EDwsd302:1757	S13:	 erm i 
EDwsd302:1758	S19:	 dialogue 
EDwsd302:1759	SX-f:	 communication is fine @
EDwsd302:1760	SX-f:	 erm
EDwsd302:1761	S19:	 x 
EDwsd302:1762	SX-7:	 no i completely agree we should have that
EDwsd302:1763	S19:	 something er i mean something that 
EDwsd302:1764	SX-7:	 we should have communication 
EDwsd302:1765	S17:	 i think co- cooperation is really important if if we're not united if we don't have 
EDwsd302:1766	S19:	 im- er implies er 
EDwsd302:1767	S19:	 like working together and 
EDwsd302:1768	SX-f:	 mhm 
EDwsd302:1769	S19:	 discussing and 
EDwsd302:1770	S17:	 if we don't ai- aim at the same things so we cannot achieve anything and we should cooperate 
EDwsd302:1771	S19:	 xx 
EDwsd302:1772	SX-5:	 and is a 
EDwsd302:1773	SX-f:	 okay then 
EDwsd302:1774	SX-5:	 xx sustainable development is that er is that integrated in in er 
EDwsd302:1775	S17:	 cooperation
EDwsd302:1776	SX-5:	 cooperation
EDwsd302:1777	S7:	 no
EDwsd302:1778	SS:	 no 
EDwsd302:1779	S17:	 not really @
EDwsd302:1780	SX-f:	 xxxx 
EDwsd302:1781	S17:	 so what do we think about cooperation so you think that's sounds like hierarchy or something 
EDwsd302:1782	S19:	 well do we have some other word in english which you would which you would you prefer
EDwsd302:1783	S13:	 er can't think of anything right now
EDwsd302:1784	SS:	 @@@@@
EDwsd302:1785	S6:	 cooperation is not so so bad because what we're doing right now 
EDwsd302:1786	S17:	 you're definitely @@ yeah it's cooperation 
EDwsd302:1787	S6:	 what we're doing right now we must x cooperate 
EDwsd302:1788	S19:	 cos i i'd just thought pe- perhaps for for you because you
EDwsd302:1789	SX-f:	 hm 
EDwsd302:1790	S6:	 with each other 
EDwsd302:1791	S19:	 are a native speaker you you know the these connotations better there it this word is like 
EDwsd302:1792	S17:	 but isn't spanish your mother tongue 
EDwsd302:1793	S13:	 english and spanish
EDwsd302:1794	S19:	 yeah 
EDwsd302:1795	S17:	 so you have two mother tongues @@@
EDwsd302:1796	S13:	 kind of 
EDwsd302:1797	SS:	 @@
EDwsd302:1798	SX-f:	 so 
EDwsd302:1799	SX-7:	 erm
EDwsd302:1800	S19:	 well i'm i'm okay with 
EDwsd302:1801	SX-f:	 hm 
EDwsd302:1802	S19:	 cooperation but 
EDwsd302:1803	S13:	 is everybody okay with cooperation 
EDwsd302:1804	S17:	 objections
EDwsd302:1805	SX-f:	 xx it's a long one 
EDwsd302:1806	SX-f:	 okay yeah 
EDwsd302:1807	SX-f:	 okay 
EDwsd302:1808	SX-5:	 yah 
EDwsd302:1809	S17:	 first time second time 
EDwsd302:1810	S4:	 okay y- it's er it's very @@ it's good because er 
EDwsd302:1811	SX-13:	 oh no 
EDwsd302:1812	S17:	 the sold @@@ @
EDwsd302:1813	S4:	 we have not that much time left 
EDwsd302:1814	S19:	 okay now we have 
EDwsd302:1815	S17:	 only one 
EDwsd302:1816	SX-f:	 we have to pick one 
EDwsd302:1817	S5:	 yeah we've got one one more 
EDwsd302:1818	S4:	 only one
EDwsd302:1819	S4:	 excellent 
EDwsd302:1820	SX-f:	 x xx work 
EDwsd302:1821	S5:	 which 
EDwsd302:1822	S17:	 and then just rank them 
EDwsd302:1823	S5:	 which one sort of like are w- which ones were left which one we haven't solved 
EDwsd302:1824	S17:	 so we have humanity we have sustainable development and 
EDwsd302:1825	S7:	 solidarity 
EDwsd302:1826	S17:	 and love 
EDwsd302:1827	S13:	 and ecological awareness 
EDwsd302:1828	SS:	 @@@
EDwsd302:1829	S6:	 x healthness 
EDwsd302:1830	S19:	 yeah that was in there yes 
EDwsd302:1831	S13:	 i really like that one 
EDwsd302:1832	SX-f:	 @@
EDwsd302:1833	S5:	 whe- whe- where was erm s- solidarity
EDwsd302:1834	SX-f:	 erm 
EDwsd302:1835	SX-f:	 i 
EDwsd302:1836	S5:	 that is still open right
EDwsd302:1837	S17:	 yah it's helpfulness
EDwsd302:1838	SX-f:	 yah as a 
EDwsd302:1839	S7:	 but maybe we could find a word that kind of er 
EDwsd302:1840	S17:	 a- 
EDwsd302:1841	S7:	 says something about solidarity sustainable development 
EDwsd302:1842	S17:	 i think that humanity includes love er and solidarity may- maybe or not sustainable development not 
EDwsd302:1843	SX-f:	 hh 
EDwsd302:1844	SX-5:	 erm 
EDwsd302:1845	S19:	 for me humanity is a little too broad 
EDwsd302:1846	SX-f:	 yah 
EDwsd302:1847	S7:	 yah for me as well
EDwsd302:1848	SX-f:	 yah 
EDwsd302:1849	S7:	 solidarity is more clear
EDwsd302:1850	SX-f:	 yah 
EDwsd302:1851	SX-19:	 yah 
EDwsd302:1852	S19:	 i would take i i would take solidarity 
EDwsd302:1853	SX-6:	 solidarity
EDwsd302:1854	SX-f:	 yah 
EDwsd302:1855	SX-6:	 solidarity
EDwsd302:1856	S7:	 cool okay so we're actually done and now we can x 
EDwsd302:1857	S19:	 so we have the rank- 
EDwsd302:1858	S5:	 mhm yah i can go with that one 
EDwsd302:1859	S17:	 maybe freedom should be first because we all had had this on our lists
EDwsd302:1860	SX-7:	 yah 
EDwsd302:1861	S13:	 yeah
EDwsd302:1862	SX-f:	 maybe yah
EDwsd302:1863	SX-f:	 @@@@
EDwsd302:1864	S5:	 and freedom also includes so much things i mean you you you cannot for the for instance have knowledge or gain knowledge or experience anything if you're not free a- and 
EDwsd302:1865	SX-19:	 yah 
EDwsd302:1866	S5:	 and erm
EDwsd302:1867	SX-5:	 so you can x respect 
EDwsd302:1868	S19:	 but i would say respect would be the second huh
EDwsd302:1869	SX-6:	 the second
EDwsd302:1870	S17:	 probably yes
EDwsd302:1871	SX-f:	 er yah 
EDwsd302:1872	SX-5:	 haeh
EDwsd302:1873	SX-f:	 and 
EDwsd302:1874	S13:	 but i like respect as number one actually 
EDwsd302:1875	S17:	 maybe solida- 
EDwsd302:1876	SX-f:	 yeah perhaps perhaps 
EDwsd302:1877	S17:	 but we we all had res- 
EDwsd302:1878	S13:	 because really before we can be free because e- everyone can be free and if we're free we can do what we want but if we don't have respect we can infringe and have somebody else's freedom 
EDwsd302:1879	SX-f:	 like xx freedom 
EDwsd302:1880	SX-f:	 mhm 
EDwsd302:1881	S19:	 yeah because freedom could also you could use it like for this as a something 
EDwsd302:1882	S13:	 so you 
EDwsd302:1883	S19:	 a reason to go to war or something 
EDwsd302:1884	SX-f:	 mhm 
EDwsd302:1885	S19:	 i mean respect is something t- that prevents that 
EDwsd302:1886	S13:	 some- yeah you have to respect then that can like give you freedom in a way that you not taking somebody else's freedom 
EDwsd302:1887	SX-f:	 yeah
EDwsd302:1888	S19:	 yeah perhaps i- i'm also for that 
EDwsd302:1889	S13:	 respect first 
EDwsd302:1890	SX-f:	 yeah 
EDwsd302:1891	S17:	 we're we're ranking them 
EDwsd302:1892	S4:	 may i 
EDwsd302:1893	SX-f:	 yeah 
EDwsd302:1894	S4:	 may i ask you to er finish 
EDwsd302:1895	SX-f:	 yeah we're ranking 
EDwsd302:1896	S4:	 two minutes
EDwsd302:1897	S17:	 we're ranking them 
EDwsd302:1898	S4:	 okay
EDwsd302:1899	S4:	 okay
EDwsd302:1900	S19:	 so i have to repeat respect freedom and er 
EDwsd302:1901	S13:	 respect and freedom 
EDwsd302:1902	S17:	 i don't know maybe 
EDwsd302:1903	S7:	 solidarity
EDwsd302:1904	SX-19:	 cooperation 
EDwsd302:1905	S17:	 don't you think that freedom 
EDwsd302:1906	SX-13:	 we got knowledge i like knowledge xx knowledge 
EDwsd302:1907	S19:	 or solidarity 
EDwsd302:1908	SX-7:	 yeah 
EDwsd302:1909	S17:	 i think 
EDwsd302:1910	S13:	 where's knowledge 
EDwsd302:1911	S17:	 knowledge should come last 
EDwsd302:1912	S7:	 it's here 
EDwsd302:1913	SX-f:	 hh 
EDwsd302:1914	SX-f:	 oh 
EDwsd302:1915	SS:	 @@ @@
EDwsd302:1916	S17:	 that was so drastic @@@@
EDwsd302:1917	SX-m:	 @@@@@@
EDwsd302:1918	S5:	 no i i think think we'd we'd probably agree with you erm no this is it's so so difficult because these things are so 
EDwsd302:1919	SX-13:	 i think knowledge 
EDwsd302:1920	S5:	 to me they're all so much so closely linked to each other and it's really difficult for me to to rank them 
EDwsd302:1921	SX-f:	 yeah 
EDwsd302:1922	SX-f:	 mhm 
EDwsd302:1923	S19:	 okay so you said third would be 
EDwsd302:1924	SX-f:	 no we didn't 
EDwsd302:1925	S19:	 or you said the third would be knowledge 
EDwsd302:1926	SX-f:	 yeah 
EDwsd302:1927	S19:	 er 
EDwsd302:1928	S7:	 how about solidarity isn't that 
EDwsd302:1929	SX-19:	 or solidarity 
EDwsd302:1930	S7:	 er or as long as we have respect xxxx 
EDwsd302:1931	S13:	 i think cooperation should be now 
EDwsd302:1932	SX-6:	 could we have some changes
EDwsd302:1933	S17:	 er so are we thinking about number three
EDwsd302:1934	SX-6:	 oh no we chose the first respect
EDwsd302:1935	S19:	 yes number three 
EDwsd302:1936	S13:	 solidarity 
EDwsd302:1937	S19:	 or solidarity it's okay 
EDwsd302:1938	SX-f:	 solida- 
EDwsd302:1939	S13:	 solidarity
EDwsd302:1940	S17:	 i think i'm okay with solidarity as number three 
EDwsd302:1941	SX-6:	 second is freedom
EDwsd302:1942	S7:	 yeah exactly 
EDwsd302:1943	S19:	 and knowledge would be the forth 
EDwsd302:1944	SX-f:	 a- 
EDwsd302:1945	SX-13:	 yes 
EDwsd302:1946	SX-f:	 yes 
EDwsd302:1947	SX-f:	 xx 
EDwsd302:1948	SX-f:	 yeah so is good 
EDwsd302:1949	SX-7:	 okay 
EDwsd302:1950	SX-6:	 and the third is
EDwsd302:1951	SX-19:	 cooperation xx 
EDwsd302:1952	S13:	 the for- the fifth is cooperation 
EDwsd302:1953	SX-f:	 how was it did you get any conclusions
EDwsd302:1954	S18:	 did y- say again 
EDwsd302:1955	SX-f:	 did you get any conclusions any
EDwsd302:1956	S18:	 they found conclusions yes
EDwsd302:1957	SX-f:	 yah
EDwsd302:1958	S18:	 yes
EDwsd302:1959	SX-f:	 ah and did you xxx @@@
EDwsd302:1960	S18:	 after discussions of course @@@
EDwsd302:1961	SX-m:	 what's the hammer 
EDwsd302:1962	SX-m:	 @@@
EDwsd302:1963	SX-21:	 do you like the hammer huh
EDwsd302:1964	S4:	 er 
EDwsd302:1965	SX-21:	 @@@@
EDwsd302:1966	S18:	 do you like the hammer
EDwsd302:1967	S15:	 okay everything worked out then we have now our list with five values of the group can somebody of the negotiators come or two of you come to the front 
EDwsd302:1968	SX-f:	 xx 
EDwsd302:1969	S15:	 and write them big on a board so we can remember them for the next two days and maybe shortly sa- tell what you meant by it so it's clear for everybody and then if you have questions you can ask
EDwsd302:1970	S17:	 the group for with er knowledge we can 
EDwsd302:1971	SS:	 @@@@@@
EDwsd302:1972	S17:	 better explain 
EDwsd302:1973	S17:	 i mean th- they they they have really they'll can explain it really better 
EDwsd302:1974	S7:	 i can explain it 
EDwsd302:1975	S17:	 the 
EDwsd302:1976	S7:	 is is not academic knowledge is is just knowledge about what's going on i think er these days we all know how important it is to to have knowledge about what's going on to understand what's er 
EDwsd302:1977	SX-m:	 xxxxx 
EDwsd302:1978	S7:	 erm what's happening and also to find solutions
EDwsd302:1979	SX-f:	 mhm 
EDwsd302:1980	S7:	 er so that's what we mean about knowledge and also knowledge about other people 
EDwsd302:1981	SX-f:	 mhm 
EDwsd302:1982	S7:	 other cultures 
EDwsd302:1983	S15:	 that's clear
EDwsd302:1984	SX-f:	 mhm 
EDwsd302:1985	S15:	 okay anything else which is not clear yah
EDwsd302:1986	SX-f:	 well what do you mean with er solidarity 
EDwsd302:1987	S17:	 helpfulness helpfulness to help other people to be humane and 
EDwsd302:1988	SX:	 okay 
EDwsd302:1989	SX-f:	 right er 
EDwsd302:1990	SX-15:	 so humanity is solidarity 
EDwsd302:1991	S5:	 yeah humanity with our er sort of like our sense of humanity is is incorporated in in solidarity 
EDwsd302:1992	SX-f:	 aha 
EDwsd302:1993	S5:	 like love and family and friends 
EDwsd302:1994	SX-12:	 cooperation 
EDwsd302:1995	S17:	 yeah also love is also can also be incorporated in solidarity 
EDwsd302:1996	SX-7:	 in cooperation and solidarity 
EDwsd302:1997	S15:	 okay clear
EDwsd302:1998	S15:	 sorry sorry yah
EDwsd302:1999	SX-16:	 mhm 
EDwsd302:2000	SX-7:	 cooperation and solidarity so for me there is 
EDwsd302:2001	SX-12:	 they're similar 
EDwsd302:2002	SX-f:	 but 
EDwsd302:2003	S4:	 you can x xxx 
EDwsd302:2004	SX-f:	 yeah 
EDwsd302:2005	SX:	 mhm 
EDwsd302:2006	SX-f:	 but there there seem to be a cross there cos xx all of that cooperation solidarity is more human xxxxx 
EDwsd302:2007	SX-f:	 yes 
EDwsd302:2008	S17:	 well cooperation is more fo- er like er working together to achieve a common goal and that's what we are doing here
EDwsd302:2009	SX-m:	 mhm 
EDwsd302:2010	S15:	 yah
EDwsd302:2011	S17:	 it's cooperation includes dialogue mutual understanding can even the very action of doing something 
EDwsd302:2012	SX-f:	 aha 
EDwsd302:2013	S17:	 together 
EDwsd302:2014	SX-f:	 it's not 
EDwsd302:2015	S19:	 hm 
EDwsd302:2016	S15:	 yes
EDwsd302:2017	S19:	 hm 
EDwsd302:2018	SX-f:	 i have a question actually 
EDwsd302:2019	S15:	 yeah
EDwsd302:2020	SX-f:	 erm i i'm oh it's stupid to say i don't agree with this but er 
EDwsd302:2021	SX-f:	 xx x 
EDwsd302:2022	SX-f:	 i really miss one thing 
EDwsd302:2023	SS:	 @@
EDwsd302:2024	SX-f:	 and that is love 
EDwsd302:2025	SX-f:	 yes 
EDwsd302:2026	SX-f:	 and somebody told me here that's er 
EDwsd302:2027	SX-m:	 xxx x 
EDwsd302:2028	SX-f:	 somebody had said that love is too wide er and that's it comes kind of under solidarity and i 
EDwsd302:2029	S12:	 let's vote for love 
EDwsd302:2030	S13:	 but love can xxxx 
EDwsd302:2031	S12:	 @ also vote for love 
EDwsd302:2032	SX-f:	 yeah i know x 
EDwsd302:2033	SX-f:	 i wonder my question is 
EDwsd302:2034	S4:	 let's let's face the 
EDwsd302:2035	SX-f:	 my question is i mean how you say to your parents or your boyfriends 
EDwsd302:2036	SX-12:	 xxx 
EDwsd302:2037	SX-f:	 okay 
EDwsd302:2038	SX-f:	 i am solidarity with you
EDwsd302:2039	SX-m:	 @@@@
EDwsd302:2040	SS:	 @@
EDwsd302:2041	SX-f:	 instead of i love you
EDwsd302:2042	S19:	 no but it is not only in er solidarity is actually also in respect 
EDwsd302:2043	SX-f:	 wait 
EDwsd302:2044	SX-f:	 but 
EDwsd302:2045	SX-f:	 wait 
EDwsd302:2046	S17:	 or 
EDwsd302:2047	S17:	 yeah 
EDwsd302:2048	SX-12:	 in cooperation 
EDwsd302:2049	S17:	 we agree that it's even more important to respect the other person
EDwsd302:2050	SX-f:	 mhm 
EDwsd302:2051	S19:	 and in cooperation 
EDwsd302:2052	S17:	 because if 
EDwsd302:2053	SX-f:	 as love them 
EDwsd302:2054	SX-f:	 mhm 
EDwsd302:2055	SX-f:	 @@
EDwsd302:2056	SX-f:	 no but you won't love your boyfriend 
EDwsd302:2057	S17:	 but you cannot love everybody 
EDwsd302:2058	SX-m:	 xx x 
EDwsd302:2059	SX-f:	 yeah 
EDwsd302:2060	S17:	 and it's more important to respect otherness 
EDwsd302:2061	SX-f:	 but if you love then i think you respect too you can't love people and don't respect them
EDwsd302:2062	S17:	 you can we can you can love you rationally without 
EDwsd302:2063	S14:	 yeah but you have to think what you really matters to me and at the end of the day i can say to my family it's my friend it's all the people that i have close to me so before like the other world the world outside there're 
EDwsd302:2064	SX-f:	 mhm 
EDwsd302:2065	S14:	 so you have to think about values in general others gonna be x xx x xxx family friends and all of that 
EDwsd302:2066	S15:	 mhm 
EDwsd302:2067	S4:	 hm 
EDwsd302:2068	S14:	 because er it's my little circle in a kind of way more like working together with the other fair enough like er 
EDwsd302:2069	SX-f:	 mhm 
EDwsd302:2070	S14:	 that's only valid xx then they're no i think we are talking about values xxx talking about people but not talking about e u or like a politician we're just talking about ourselves so in that kind of way i think it's wrong 
EDwsd302:2071	SX-1:	 but i i i i mean if you love your boyfriend you won't change the world and respect is another thing i think 
EDwsd302:2072	SX-f:	 i think respect the person 
EDwsd302:2073	S14:	 i mean you don't er you don't all come now saying that is not important it just that i think that this is er something 
EDwsd302:2074	SX-f:	 yeah it still xxx 
EDwsd302:2075	SX-f:	 and we are saying that just 
EDwsd302:2076	SX-f:	 can i 
EDwsd302:2077	S4:	 well it's it's it's clear we are we are well there's still a discussion in the group xxx very long x incorporated xx but is there anybody who has something to add or something really new 
EDwsd302:2078	S12:	 yes 
EDwsd302:2079	S4:	 this 
EDwsd302:2080	S12:	 vote for love 
EDwsd302:2081	SX-f:	 no 
EDwsd302:2082	SS:	 @@@@@
EDwsd302:2083	S4:	 i think 
EDwsd302:2084	SX-f:	 the 
EDwsd302:2085	S4:	 we have we had this procedure so 
EDwsd302:2086	S12:	 i i organize a strike 
EDwsd302:2087	S4:	 this is so 
EDwsd302:2088	SS:	 @@@
EDwsd302:2089	SX-17:	 for love 
EDwsd302:2090	S15:	 but is there anybody who doesn't have any of these values in here
EDwsd302:2091	S12:	 demonstration
EDwsd302:2092	S19:	 i 
EDwsd302:2093	S15:	 anybody who doesn't have any of his start values in here
EDwsd302:2094	SX-m:	 no 
EDwsd302:2095	S15:	 everybody has something is there anybody who has all these values
EDwsd302:2096	SX-f:	 no 
EDwsd302:2097	SX-f:	 so 
EDwsd302:2098	S4:	 or a lot 
EDwsd302:2099	SX-f:	 no 
EDwsd302:2100	S15:	 or a lot like four or three 
EDwsd302:2101	S4:	 two or three 
EDwsd302:2102	S17:	 yah it's impossible to fit our values in five 
EDwsd302:2103	S15:	 of course it is of course it is but that's not the aim of course but i think is there anybody who really there's not anybody who doesn't have any value in here 
EDwsd302:2104	SX-f:	 i- if if we speak from the start 
EDwsd302:2105	SX-f:	 i have 
EDwsd302:2106	S4:	 yeah 
EDwsd302:2107	S15:	 yeah 
EDwsd302:2108	SX-f:	 what so 
EDwsd302:2109	S15:	 yes 
EDwsd302:2110	SX-f:	 i don't @@
EDwsd302:2111	S4:	 no 
EDwsd302:2112	S15:	 no okay 
EDwsd302:2113	SX-3:	 i have a question
EDwsd302:2114	SX-f:	 xx 
EDwsd302:2115	SX-3:	 can you consider like cooperation as a value 
EDwsd302:2116	S15:	 yah
EDwsd302:2117	SX-3:	 i think that cooperation is more like a process it's like when you are doing something together we can say we can talk about cooperation but we cannot talk a- about the value cooperation i don't agree i don't er understand maybe
EDwsd302:2118	S12:	 yes 
EDwsd302:2119	SX-3:	 wha- what value is cooperation
EDwsd302:2120	SX-m:	 it's xx xx 
EDwsd302:2121	S18:	 but 
EDwsd302:2122	SX-m:	 is cooperating isn't 
EDwsd302:2123	SX-f:	 @
EDwsd302:2124	S18:	 i thi- 
EDwsd302:2125	SS:	 @@@@@@@@
EDwsd302:2126	S18:	 can i add something to that
EDwsd302:2127	S12:	 coll- collectivism 
EDwsd302:2128	S12:	 collectivism
EDwsd302:2129	S15:	 can we 
EDwsd302:2130	S15:	 can we keep it central please [S18] 
EDwsd302:2131	S8:	 i think that the word cooperation somehow came up in our group in our group of eight people and what we meant was not only on a formal level but also on an interpersonal level we included friendship and love in that as well because we thought that cooperation is also on an intimate lev- level is also to be friends and also on a formal level so in that sense i can be a- and it i- it is to my mind a value it's just a broader term for something to include more because we had to 
EDwsd302:2132	SX-f:	 mhm 
EDwsd302:2133	SX-f:	 hm 
EDwsd302:2134	SX-m:	 okay 
